"産業中分類","総数(経営組織)事業所数","総数(経営組織)従業者数 (注)","総数(経営組織)従業者数 (注)_男","総数(経営組織)従業者数 (注)_女","総数(経営組織)従業者数 (注)_個人業主 (注)","総数(経営組織)従業者数 (注)_個人業主 (注)_男","総数(経営組織)従業者数 (注)_個人業主 (注)_女","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_男","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_女","総数(経営組織)従業者数 (注)_有給役員(注)","総数(経営組織)従業者数 (注)_有給役員(注)_男","総数(経営組織)従業者数 (注)_有給役員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)_男","総数(経営組織)従業者数 (注)_正社員・正職員(注)_正社員・正職員以外 (注)_女","総数(経営組織)従業者数 (注)_臨時雇用者 (注)","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_男","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_個人業主 (注)","個人_従業者数(注)_個人業主 (注)_男","個人_従業者数(注)_個人業主 (注)_女","個人_従業者数(注)_無給の家族従業者(注)","個人_従業者数(注)_無給の家族従業者(注)_男","個人_従業者数(注)_無給の家族従業者(注)_女","個人_従業者数(注)_常用雇用者(注)","個人_従業者数(注)_常用雇用者(注)_男","個人_従業者数(注)_常用雇用者(注)_女","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_男","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_女","個人_従業者数(注)_臨時雇用者(注)","個人_従業者数(注)_臨時雇用者(注)_男","個人_従業者数(注)_臨時雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_有給役員(注)","法人_従業者数(注)_有給役員(注)_男","法人_従業者数(注)_有給役員(注)_女","法人_従業者数(注)_常用雇用者 (注)","法人_従業者数(注)_常用雇用者 (注)_男","法人_従業者数(注)_常用雇用者 (注)_女","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人_従業者数(注)_臨時雇用者(注)","法人_従業者数(注)_臨時雇用者(注)_男","法人_従業者数(注)_臨時雇用者(注)_女","会社_事業所数","会社_従業者数(注)","会社_従業者数(注)_男","会社_従業者数(注)_女","会社_従業者数(注)_有給役員(注)","会社_従業者数(注)_有給役員(注)_男","会社_従業者数(注)_有給役員(注)_女","会社_従業者数(注)_常用雇用者 (注)","会社_従業者数(注)_常用雇用者 (注)_男","会社_従業者数(注)_常用雇用者 (注)_女","会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社_従業者数(注)_臨時雇用者(注)","会社_従業者数(注)_臨時雇用者(注)_男","会社_従業者数(注)_臨時雇用者(注)_女","株式・有限・相互会社_事業所数","株式・有限・相互会社_従業者数(注)","株式・有限・相互会社_従業者数(注)_男","株式・有限・相互会社_従業者数(注)_女","株式・有限・相互会社_従業者数(注)_有給役員(注)","株式・有限・相互会社_従業者数(注)_有給役員(注)_男","株式・有限・相互会社_従業者数(注)_有給役員(注)_女","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_男","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_女","株式・有限・相互会社_常用雇用者 (注)_従業者数(注)うち正社員・正職員 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","株式・有限・相互会社_従業者数(注)常用雇用者 (注)うち正社員・正職員 (注)_女","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_男","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_女","合名・合資会社_事業所数","合名・合資会社_従業者数(注)","合名・合資会社_従業者数(注)_男","合名・合資会社_従業者数(注)_女","株合名・合資会社_従業者数(注)_有給役員(注)","合名・合資会社_従業者数(注)_有給役員(注)_男","合名・合資会社_従業者数(注)_有給役員(注)_女","合名・合資会社_従業者数(注)_常用雇用者 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_女","合名・合資会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合名・合資会社_従業者数(注)_臨時雇用者(注)","合名・合資会社_従業者数(注)_臨時雇用者(注)_男","合名・合資会社_従業者数(注)_臨時雇用者(注)_女","合同会社_事業所数","合同会社_従業者数(注)","合同会社_従業者数(注)_男","合同会社_従業者数(注)_女","合同会社_従業者数(注)_有給役員(注)","合同会社_従業者数(注)_有給役員(注)_男","合同会社_従業者数(注)_有給役員(注)_女","合同会社_従業者数(注)_常用雇用者 (注)","合同会社_従業者数(注)_常用雇用者 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_女","合同会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合同会社_従業者数(注)_臨時雇用者(注)","合同会社_従業者数(注)_臨時雇用者(注)_男","合同会社_従業者数(注)_臨時雇用者(注)_女","外国の会社_事業所数","外国の会社_従業者数(注)","外国の会社_従業者数(注)_男","外国の会社_従業者数(注)_女","外国の会社_従業者数(注)_有給役員(注)","外国の会社_従業者数(注)_有給役員(注)_男","外国の会社_従業者数(注)_有給役員(注)_女","外国の会社_従業者数(注)_常用雇用者 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_女","外国の会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","外国の会社_従業者数(注)_臨時雇用者(注)","外国の会社_従業者数(注)_臨時雇用者(注)_男","外国の会社_従業者数(注)_臨時雇用者(注)_女","会社以外の法人_事業所数","会社以外の法人_従業者数(注)","会社以外の法人_従業者数(注)_男","会社以外の法人_従業者数(注)_女","会社以外の法人_従業者数(注)_有給役員(注)","会社以外の法人_従業者数(注)_有給役員(注)_男","会社以外の法人_従業者数(注)_有給役員(注)_女","会社以外の法人_従業者数(注)_常用雇用者 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_女","会社以外の法人_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社以外の法人_従業者数(注)_臨時雇用者(注)","会社以外の法人_従業者数(注)_臨時雇用者(注)_男","会社以外の法人_従業者数(注)_臨時雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_有給役員(注)","法人でない団体_従業者数(注)_有給役員(注)_男","法人でない団体_従業者数(注)_有給役員(注)_女","法人でない団体_従業者数(注)_常用雇用者 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_女","法人でない団体_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人でない団体_従業者数(注)_臨時雇用者(注)","法人でない団体_従業者数(注)_臨時雇用者(注)_男","法人でない団体_従業者数(注)_臨時雇用者(注)_女"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　34 ガス業","3.0","95.0","83.0","12.0","-","-","-","-","-","-","5.0","5.0","-","90.0","78.0","12.0","86.0","76.0","10.0","4.0","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.0","95.0","83.0","12.0","5.0","5.0","-","90.0","78.0","12.0","86.0","76.0","10.0","-","-","-","3.0","95.0","83.0","12.0","5.0","5.0","-","90.0","78.0","12.0","86.0","76.0","10.0","-","-","-","3.0","95.0","83.0","12.0","5.0","5.0","-","90.0","78.0","12.0","86.0","76.0","10.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　35 熱供給業","1.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","3.0","3.0","-","-","-","-","3.0","3.0","-","3.0","3.0","-","-","-","-","1.0","3.0","3.0","-","-","-","-","3.0","3.0","-","3.0","3.0","-","-","-","-","1.0","3.0","3.0","-","-","-","-","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　36 水道業","8.0","56.0","48.0","8.0","-","-","-","-","-","-","12.0","11.0","1.0","42.0","36.0","6.0","36.0","33.0","3.0","6.0","3.0","3.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.0","56.0","48.0","8.0","12.0","11.0","1.0","42.0","36.0","6.0","36.0","33.0","3.0","2.0","1.0","1.0","3.0","28.0","23.0","5.0","9.0","8.0","1.0","17.0","14.0","3.0","15.0","12.0","3.0","2.0","1.0","1.0","3.0","28.0","23.0","5.0","9.0","8.0","1.0","17.0","14.0","3.0","15.0","12.0","3.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.0","28.0","25.0","3.0","3.0","3.0","-","25.0","22.0","3.0","21.0","21.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　FZ 電気・ガス・熱供給・水道業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_","267.0","3291.0","1823.0","1378.0","20.0","19.0","1.0","5.0","-","5.0","260.0","191.0","69.0","2748.0","1530.0","1218.0","1897.0","1311.0","586.0","851.0","219.0","632.0","258.0","83.0","85.0","20.0","91.0","60.0","31.0","20.0","19.0","1.0","5.0","-","5.0","46.0","27.0","19.0","34.0","25.0","9.0","20.0","14.0","6.0","246.0","3188.0","1759.0","1339.0","260.0","191.0","69.0","2701.0","1503.0","1198.0","1862.0","1286.0","576.0","227.0","65.0","72.0","238.0","3066.0","1684.0","1292.0","255.0","187.0","68.0","2597.0","1435.0","1162.0","1789.0","1226.0","563.0","214.0","62.0","62.0","238.0","3066.0","1684.0","1292.0","255.0","187.0","68.0","2597.0","1435.0","1162.0","1789.0","1226.0","563.0","214.0","62.0","62.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.0","122.0","75.0","47.0","5.0","4.0","1.0","104.0","68.0","36.0","73.0","60.0","13.0","13.0","3.0","10.0","1.0","12.0","4.0","8.0","-","-","-","1.0","-","1.0","1.0","-","1.0","11.0","4.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　37 通信業","34.0","466.0","276.0","190.0","1.0","1.0","-","1.0","-","1.0","13.0","9.0","4.0","428.0","252.0","176.0","361.0","234.0","127.0","67.0","18.0","49.0","23.0","14.0","9.0","1.0","2.0","1.0","1.0","1.0","1.0","-","1.0","-","1.0","-","-","-","-","-","-","-","-","-","33.0","464.0","275.0","189.0","13.0","9.0","4.0","428.0","252.0","176.0","361.0","234.0","127.0","23.0","14.0","9.0","33.0","464.0","275.0","189.0","13.0","9.0","4.0","428.0","252.0","176.0","361.0","234.0","127.0","23.0","14.0","9.0","33.0","464.0","275.0","189.0","13.0","9.0","4.0","428.0","252.0","176.0","361.0","234.0","127.0","23.0","14.0","9.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　38 放送業","18.0","415.0","230.0","95.0","-","-","-","-","-","-","7.0","6.0","1.0","317.0","224.0","93.0","139.0","115.0","24.0","178.0","109.0","69.0","91.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.0","415.0","230.0","95.0","7.0","6.0","1.0","317.0","224.0","93.0","139.0","115.0","24.0","91.0","-","1.0","16.0","319.0","169.0","60.0","7.0","6.0","1.0","221.0","163.0","58.0","74.0","62.0","12.0","91.0","-","1.0","16.0","319.0","169.0","60.0","7.0","6.0","1.0","221.0","163.0","58.0","74.0","62.0","12.0","91.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","96.0","61.0","35.0","-","-","-","96.0","61.0","35.0","65.0","53.0","12.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　39 情報サービス業","123.0","1587.0","815.0","772.0","10.0","9.0","1.0","1.0","-","1.0","153.0","110.0","43.0","1346.0","666.0","680.0","857.0","601.0","256.0","489.0","65.0","424.0","77.0","30.0","47.0","10.0","24.0","16.0","8.0","10.0","9.0","1.0","1.0","-","1.0","5.0","1.0","4.0","2.0","1.0","1.0","8.0","6.0","2.0","112.0","1551.0","795.0","756.0","153.0","110.0","43.0","1340.0","665.0","675.0","854.0","600.0","254.0","58.0","20.0","38.0","110.0","1532.0","788.0","744.0","149.0","107.0","42.0","1338.0","664.0","674.0","852.0","599.0","253.0","45.0","17.0","28.0","110.0","1532.0","788.0","744.0","149.0","107.0","42.0","1338.0","664.0","674.0","852.0","599.0","253.0","45.0","17.0","28.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","19.0","7.0","12.0","4.0","3.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0","13.0","3.0","10.0","1.0","12.0","4.0","8.0","-","-","-","1.0","-","1.0","1.0","-","1.0","11.0","4.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　40 インターネット附随サービス業","11.0","87.0","53.0","34.0","1.0","1.0","-","-","-","-","13.0","12.0","1.0","73.0","40.0","33.0","57.0","40.0","17.0","16.0","-","16.0","-","-","-","1.0","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","10.0","86.0","52.0","34.0","13.0","12.0","1.0","73.0","40.0","33.0","57.0","40.0","17.0","-","-","-","10.0","86.0","52.0","34.0","13.0","12.0","1.0","73.0","40.0","33.0","57.0","40.0","17.0","-","-","-","10.0","86.0","52.0","34.0","13.0","12.0","1.0","73.0","40.0","33.0","57.0","40.0","17.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業","78.0","708.0","445.0","263.0","8.0","8.0","-","3.0","-","3.0","73.0","54.0","19.0","557.0","344.0","213.0","458.0","317.0","141.0","99.0","27.0","72.0","67.0","39.0","28.0","8.0","64.0","42.0","22.0","8.0","8.0","-","3.0","-","3.0","41.0","26.0","15.0","32.0","24.0","8.0","12.0","8.0","4.0","70.0","644.0","403.0","241.0","73.0","54.0","19.0","516.0","318.0","198.0","426.0","293.0","133.0","55.0","31.0","24.0","66.0","637.0","396.0","241.0","72.0","53.0","19.0","510.0","312.0","198.0","420.0","287.0","133.0","55.0","31.0","24.0","66.0","637.0","396.0","241.0","72.0","53.0","19.0","510.0","312.0","198.0","420.0","287.0","133.0","55.0","31.0","24.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.0","7.0","7.0","-","1.0","1.0","-","6.0","6.0","-","6.0","6.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　G1 通信業，放送業，映像・音声・文字情報制作業 内格付不能_","3.0","28.0","4.0","24.0","-","-","-","-","-","-","1.0","-","1.0","27.0","4.0","23.0","25.0","4.0","21.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.0","28.0","4.0","24.0","1.0","-","1.0","27.0","4.0","23.0","25.0","4.0","21.0","-","-","-","3.0","28.0","4.0","24.0","1.0","-","1.0","27.0","4.0","23.0","25.0","4.0","21.0","-","-","-","3.0","28.0","4.0","24.0","1.0","-","1.0","27.0","4.0","23.0","25.0","4.0","21.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　G2 情報サービス業，インターネット附随サービス業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_","981.0","20201.0","16946.0","3255.0","103.0","96.0","7.0","38.0","4.0","34.0","1074.0","771.0","303.0","18129.0","15423.0","2706.0","13516.0","12603.0","913.0","4613.0","2820.0","1793.0","857.0","652.0","205.0","105.0","330.0","244.0","86.0","103.0","96.0","7.0","38.0","4.0","34.0","158.0","118.0","40.0","128.0","105.0","23.0","31.0","26.0","5.0","865.0","19776.0","16650.0","3126.0","1073.0","770.0","303.0","17910.0","15279.0","2631.0","13363.0","12484.0","879.0","793.0","601.0","192.0","848.0","19692.0","16596.0","3096.0","1059.0","760.0","299.0","17840.0","15235.0","2605.0","13311.0","12448.0","863.0","793.0","601.0","192.0","845.0","19665.0","16574.0","3091.0","1055.0","757.0","298.0","17817.0","15216.0","2601.0","13295.0","12432.0","863.0","793.0","601.0","192.0","2.0","23.0","19.0","4.0","3.0","2.0","1.0","20.0","17.0","3.0","15.0","15.0","-","-","-","-","1.0","4.0","3.0","1.0","1.0","1.0","-","3.0","2.0","1.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.0","84.0","54.0","30.0","14.0","10.0","4.0","70.0","44.0","26.0","52.0","36.0","16.0","-","-","-","11.0","95.0","52.0","43.0","1.0","1.0","-","61.0","26.0","35.0","25.0","14.0","11.0","33.0","25.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　42 鉄道業","41.0","1586.0","1435.0","151.0","-","-","-","-","-","-","-","-","-","1586.0","1435.0","151.0","1556.0","1414.0","142.0","30.0","21.0","9.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","41.0","1586.0","1435.0","151.0","-","-","-","1586.0","1435.0","151.0","1556.0","1414.0","142.0","-","-","-","41.0","1586.0","1435.0","151.0","-","-","-","1586.0","1435.0","151.0","1556.0","1414.0","142.0","-","-","-","41.0","1586.0","1435.0","151.0","-","-","-","1586.0","1435.0","151.0","1556.0","1414.0","142.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業","142.0","3228.0","2912.0","316.0","13.0","11.0","2.0","6.0","1.0","5.0","120.0","91.0","29.0","2945.0","2684.0","261.0","2030.0","1895.0","135.0","915.0","789.0","126.0","144.0","125.0","19.0","13.0","19.0","12.0","7.0","13.0","11.0","2.0","6.0","1.0","5.0","-","-","-","-","-","-","-","-","-","128.0","3208.0","2900.0","308.0","120.0","91.0","29.0","2944.0","2684.0","260.0","2030.0","1895.0","135.0","144.0","125.0","19.0","127.0","3199.0","2893.0","306.0","120.0","91.0","29.0","2935.0","2677.0","258.0","2028.0","1894.0","134.0","144.0","125.0","19.0","125.0","3176.0","2874.0","302.0","117.0","89.0","28.0","2915.0","2660.0","255.0","2013.0","1879.0","134.0","144.0","125.0","19.0","2.0","23.0","19.0","4.0","3.0","2.0","1.0","20.0","17.0","3.0","15.0","15.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","9.0","7.0","2.0","-","-","-","9.0","7.0","2.0","2.0","1.0","1.0","-","-","-","1.0","1.0","-","1.0","-","-","-","1.0","-","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業","549.0","9963.0","8767.0","1196.0","68.0","66.0","2.0","24.0","2.0","22.0","739.0","524.0","215.0","8591.0","7723.0","868.0","7244.0","6835.0","409.0","1347.0","888.0","459.0","541.0","452.0","89.0","69.0","238.0","182.0","56.0","68.0","66.0","2.0","24.0","2.0","22.0","129.0","99.0","30.0","103.0","86.0","17.0","17.0","15.0","2.0","480.0","9725.0","8585.0","1140.0","739.0","524.0","215.0","8462.0","7624.0","838.0","7141.0","6749.0","392.0","524.0","437.0","87.0","476.0","9709.0","8576.0","1133.0","731.0","518.0","213.0","8454.0","7621.0","833.0","7136.0","6746.0","390.0","524.0","437.0","87.0","475.0","9705.0","8573.0","1132.0","730.0","517.0","213.0","8451.0","7619.0","832.0","7135.0","6745.0","390.0","524.0","437.0","87.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","4.0","3.0","1.0","1.0","1.0","-","3.0","2.0","1.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.0","16.0","9.0","7.0","8.0","6.0","2.0","8.0","3.0","5.0","5.0","3.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業","40.0","302.0","251.0","51.0","11.0","11.0","-","5.0","1.0","4.0","54.0","40.0","14.0","221.0","190.0","31.0","200.0","181.0","19.0","21.0","9.0","12.0","11.0","9.0","2.0","11.0","30.0","24.0","6.0","11.0","11.0","-","5.0","1.0","4.0","9.0","7.0","2.0","8.0","7.0","1.0","5.0","5.0","-","29.0","272.0","227.0","45.0","54.0","40.0","14.0","212.0","183.0","29.0","192.0","174.0","18.0","6.0","4.0","2.0","29.0","272.0","227.0","45.0","54.0","40.0","14.0","212.0","183.0","29.0","192.0","174.0","18.0","6.0","4.0","2.0","29.0","272.0","227.0","45.0","54.0","40.0","14.0","212.0","183.0","29.0","192.0","174.0","18.0","6.0","4.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
